Region,Country,Location,Course,i100,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL
Africa,Morocco,Fes,Michlifen,,2019,Nicklaus,New,Open,,2020-06-28,33.5350795,-5.1099822,https://www.michlifen.com/en/golf-morocco.html,S1hWmYWGBT0,michlifenresort,IMG Managed,Atlas Mountains,GOLFTV/status/1259031602211852291,Nicklaus,,
Africa,Morocco,Saïdia,Saïdia Teelal,,2019,Joakamides,New,Open,,2020-12-14,35.0917325,-2.2749505,,,,,,,,,
Africa,South Africa,Johannesburg,Whistling Thorns,Short,2019,De Abreu,New,Open,,2020-07-01,-26.0418216,28.2600146,https://serengeti-estates.co.za/whistling/,HOAVxEYSsKc,serengetiestates,Par 3 Course,18 Par 3's,,,,
Asia,Bangladesh,Bangladesh,Cox’s Bazar,,2019,Jansen,New,Open,,2020-05-02,21.3737396,92.076743,http://www.jansengolfdesign.com/blog/ramu-golf-cox-bazar-bangladesh/,,,,,,,,
Asia,Cambodia,Phnom Penh,Vattanac-East,,2019,Faldo,New,Open,,2020-09-22,11.4688376,105.0167496,https://www.vattanacgolfresort.com/,Z6zdXBNqh48,vattanac.golf.resort,,Flyover,thegolfbusiness/status/1171362455781433345,Press,,
Asia,Indonesia,Bandung,Parahyangan,,2019,Moore,New,Open,,2020-10-14,-6.8785227,107.4393988,https://parahyangangolf.com/,_7CgCAc1mMg,parahyangangolf,JMP,Kota Baru,TMoguraya/status/1297504601873068034,@TMoguraya,,
Asia,Malaysia,Johor,Forest City Classic,,2019,Guo Kun,New,Open,,2020-09-22,1.411618,103.5481709,https://fcgolfresort.com/forest-city-golf-resort-desert-golf-in-malaysias-johor-bahru/,Z7yGsb75JA8,forestcityindonesia,,Legacy,NicklausCo/status/1005131885469630466,Quinn,,
Asia,Thailand,Chonburi,Siam Rolling Hills,,2019,Curley,New,Open,,2020-09-22,12.9062081,100.9879469,https://siamcountryclub.com/rolling-hills/,kYXKeHhU74w,siamcountryclub,,Historical,joshuaGuo5/status/1306480299702796288,Pics,,
Asia,Thailand,Udon Thani,Royal Creek,,2019,,New,Open,,2020-10-26,17.464561,102.96408,https://www.facebook.com/royalcreekgolf/,,,,,,,,
Asia,Vietnam,Cam Ranh,KN Golf Links,,2019,Norman,New,Open,,2020-05-02,11.9719423,109.2439145,https://www.kngolflinks.com,Hq6AiZ7XLKc,kngolflinks,,Introduction,simees/status/1294456386730909697,Hole 15,,
Asia,Vietnam,Dong Hoi,FLC Quang Binh Ocean Dunes,,2019,Curley,New,Open,,2020-09-22,17.3583935,106.7389672,https://flc-quang-binh-beach-golf-resort-golf-course.business.site/,2tg3W8nRHYk,flc_golfcourse,,June 2020,,,,
Asia,Vietnam,Hanoi,BRG Kings Island,,2019,Nicklaus II,New,Open,,2020-09-22,21.0612822,105.4742274,http://brgkingsislandgolf.vn/,6wuWAwPcKuM,,,BRG,,,,https://www.instagram.com/p/CIS58P_F0dP/
AU/NZ,NZ,South Island,The Hills (The Farm) ,,2019,Oliver,New,Open,,2020-05-14,-44.9542279,168.8368992,https://www.planetgolf.com/news/designed-by-darius-oliver-the-farm-officially-opens-for-play,,thehillsgolfclub,9 holes,,,,,
Europe,Czech Republic,Prague,Twin Chapels,,2019,Gaunt,New,Open,,2020-05-02,50.1445572,14.4286119,https://twinchapels.cz/en/,VjQdJjSFZpQ,,,Shaping,,,,
GB&I,England,Norfolk,Royal Norwich ,,2019,Eur Golf Design (McMurray),New,Open,,2020-05-02,52.7158096,1.1147599,https://www.royalnorwichgolf.co.uk/,wEXBUBLlF3o,royalnorwichgolf,,Hole 18,,,,
GB&I,England,Stafford,JCB Golf CC,,2019,Hiseman,New,Open,,2020-05-02,52.9460575,-1.8604687,https://www.jcbgolfandcountryclub.com/,eUDSGhOq4yI,jcbgolfcc,, Feb 2019,,,,https://golfdesignindia.com/portfolio-item/godrej-golf-links-uttar-pradesh/
GB&I,Scotland,Inverness,Kings GC,,2019,Rennie,New,Open,,2020-12-11,57.4644912,-4.2523992,https://www.kingsgolfclubinverness.co.uk/,8L0VE0SceqE,,,Flyover,,,,
L America,Mexico,Baja,Costas Palmas,,2019,RTJ II,New,Open,,2020-09-22,23.610738,-109.5920616,https://costapalmas.com/,qmoyWMl4Dm0,costapalmas,,Golf at,RTJ2GolfDesign/status/1305967182115942400,Hole 9,,
N America,USA,Georgia,Old Toccoa Farm,,2019,Axland Dredla,New,Open,,2020-06-30,34.9223098,-84.3309474,https://www.oldtoccoafarm.com/,ly26cyWLCn4,oldtoccoafarm,New 9,Flyover,DawsonTigerGolf/status/854098967818272768,Hole 7,,
N America,USA,Kentucky,Sink Hole,Short,2019,Lemons,New,Open,,2020-12-09,36.9079876,-86.386972,https://www.olde-stone.com/Golf_(1)/The_Sink_Hole,,,Olde Stone,,,,,
N America,USA,Missouri,Ozarks National ,,2019,Coore Crenshaw ,New,Open,,2020-05-13,36.5612078,-93.1990332,https://bigcedar.com/golf/ozarks-national-course/,DBZCGjNNvg0,bigcedarlodge,,Crenshaw,,,,
N America,USA,South Carolina,Reserve Hollow Creek,,2019,Johnston Zoeller,New,Open,Johnston Zoeller ,2020-05-02,33.4892384,-81.7438575,https://www.thereserveclubatwoodside.com/golf,xYta3-YmzjI,,,Construction,,,,
N America,USA,Tennessee,Troubadour,,2019,Fazio,New,Open,,2020-09-22,35.8287884,-86.6813668,https://thetroubadourclub.com,,,Discovery Land,,camrice21/status/1279525008239443969,2020,,
N America,USA,Texas,Wildhorse GC,,2019,Stephenson,New,Open,,2020-09-22,33.1388963,-97.2442944,https://www.robsonranchgolfclub.com/,,wildhorsegolfrr,New 9,,,,,
