Region,Country,Location,Course,i100,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,,,,
Africa,Egypt,Al Alamien,Hacienda Bay Golf Course,,2021,Sanford,New,Construction,,2020-11-04,30.9455646,28.7846355,https://www.golfcoursearchitecture.net/content/sanford-golf-design-completes-hacienda-bay-in-egypt,bSsENKIoYiQ,,GPS Approx,Al Alamien,,,,,,,,
Africa,Egypt,Cairo,Madinaty,,2020,RTJ II,New,Open,,2020-12-23,30.0999787,30.5041396,https://www.madinatygolfclub.com/,,madinatygolf,,,,,,,,,,
Africa,Rwanda,Kigali,Kigali Golf,Short,2021,Player,New,Construction,,2020-10-13,-1.9294217,30.0405576,http://www.kigaligolfclub.com,rLgzj2yq2w0,,New 9 holes,Expansion,hallaboutafrica/status/1288453455464607744,New 9,,,,,,
Africa,South Africa,Eswatini,Nkonyeni ,,2020,Matkovich,New,Open,,2020-10-02,-26.678725,31.4008837,https://www.nkonyeni.co.za/,,,Golden Eagle,,,,,,,,,
Asia,Azerbaijan,Baku,<TBA>,,2022,,New,Construction,,2020-12-30,,,,,,,,,,,,,,,
Asia,Cambodia,Phnom Penh,Vattanac-West,,2020,Faldo,New,Open,,2020-12-21,11.4688376,105.0167496,https://www.vattanacgolfresort.com/,,vattanac.golf.resort,,,thegolfbusiness/status/1329470372593459201,Press,,,,,,
Asia,India,Bangalore,Kimmane Resort,,2020,Ryan,New,Open,,2020-12-14,13.9546966,73.2671398,http://kimmane.com/,,,,,dp_satish/status/1333003474338910208,Pic,,,,,,
Asia,India,Himachal Pradesh,Himalayas TBA,Short,2021,Nandrajog,New,Construction,,2020-12-31,,,,,,State Tourism Dept,,,,,,,,,
Asia,India,Hyderabad,Haldi GC,,2021,Ryan Reeves,New,Open,,2021-01-07,17.8799492,78.4432506,https://haldigolfcounty.com/golf-villa-plots-hyderabad/#about,,haldigolfcounty,,,,,,,,,,
Asia,India,Hyderabad,Signature Estates,,2021,,New,Construction,,2020-11-03,17.3151118,78.2400488,,ms7sqBtMFQ0,,Rohit Reddy, Nov 2020,,,,,,,,
Asia,India,Mumbai,Adani Belvedere,,2023,Nandrajog,New,Drawing boards ,,2020-09-21,18.9928259,72.9874693,https://twitter.com/AneraoKailash/status/1306798265141137408/photo/3,,,Navi Mumbai airport,,,,,,,,,
Asia,India,Uttar Pradesh,Godrej Golf Links,Short,2021,Nandrajog,New,Construction,,2020-12-31,28.4703482,,https://www.godrejpropertiesgreaternoida.com/godrej-golf-links,,,,,,,,,,,,
Asia,India,Uttar Pradesh,South Noida GC,,2021,Nandrajog,New,Open,,2020-12-31,28.5641889,77.3398651,,,,,,,,,,,,,
Asia,India,Uttar Pradesh,Bhalswa,,2022,Nandrajog,New,Drawing boards ,,2020-10-17,28.7341854,77.0561869,http://dda.org.in/sports/bhalaswa_golf_course.htm,,,,,,,,,,,,
Asia,Indonesia,Jakarta,MNC Lido City,,2021,Els,New,Construction,,2020-05-02,-6.7511126,106.8160074,https://www.nytimes.com/2019/08/13/world/asia/donald-trump-jr-indonesia.html,,,,,,,,,,,,
Asia,Indonesia,Jakarta,Sedayu,,2021,Nicklaus,New,Construction,,2020-10-17,-6.0354657,106.7009153,https://pik2info.com/golf-island/,,,Cope Ellsworth,,gcamagazine/status/1295629087160111104,Par 3s,,,,,,
Asia,Malaysia,Miri,Eastwood Valley,,2020,Doug Nickels,New,Open,,2020-05-15,4.370578,114.0149953,https://www.eastwoodvalley.com,,,,,,,,,,,,
Asia,Pakistan,Gujrat,Sarai Alamgir,,2022,,New,Construction,,2020-08-25,32.8633398,73.2531455,http://golfresidencia.com/,_o1Jq779JWE,,,,,,,,,,,
Asia,Pakistan,Islamabad,Eighteen,,2021,Hunt,New,Construction,,2020-10-08,33.5998727,72.8864082,https://www.golfcoursearchitecture.net/content/idg-breaks-ground-on-eighteen-islamabad-course,1CC2qopYaqM,,IDG,#eighteenislamabad,,,,,,,,
