Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,TopCandidate
Asia,Japan,Hyogo,Hirono,2019,Ebert,Restoration,Open,Allison,2020-09-22,34.770391,135.021666,https://www.google.com/search?q=Hirono+golf,8rmFbIVmjhk,,,ProVisualizer,BradleySKlein/status/1156635803109531648,Klein,
AU/NZ,Australia,Victoria,Peninsula Kingswood N,2019,OCCM,Renovation,Open,Morpeth,2020-09-22,-38.1316545,145.1573601,https://www.peninsulakingswood.com.au/cms/,0F0FVZY9KfA,peninsulakingswood,South Opened 2017-8,Before/After,GreatGolfHoles/status/1273397152333488128,Hole 17,
Europe,Germany,Hamburg,Hamburger Falkenstein,2021,Pont Hilgert,Renovation,Construction,Colt,2020-09-22,53.5724697,9.7721462,https://www.golfclub-falkenstein.de/,,,Bunkers Mowing lines,,ukgolfguy/status/1164266293186326528,Pics,
Europe,Spain,Madrid,Club Puerta de Hierro,2021,Pont,Renovation,Ongoing,Colt,2020-09-22,40.460686,-3.7366811,https://www.rcphierro.com/index.php,,,Upper Course,,conorWalsh11/status/1164629684065329156,Green 10,
GB&I,England,Devon,Royal North Devon,2021,Mackenzie Ebert,Renovation,Construction,Morris,2020-09-10,51.0454173,-5.3425058,http://www.royalnorthdevongolfclub.co.uk/,WfPlvjs2qZg,,Coastal Erosion,8th hole,,,
GB&I,England,Kent,Royal Cinque Ports,2019,Mackenzie Ebert,Renovation,Open,Braid Campbell,2020-09-22,51.2395102,1.3942074,https://www.royalcinqueports.com/royal_association,TSEP46Pdk_E,rcpgolfclub,,Spring 2020,GreatGolfHoles/status/1293172872697896960,Hole 4,
GB&I,England,Lincolnshire,Woodhall Spa,2019,Doak,Renovation,Open,Vardon Colt Hotchkin,2020-05-02,53.1555127,-0.2077424,https://www.woodhallspagolf.com/hotchkin_course,zE4lfHKuNfg,woodhallspagolfshop,,Hole 17,,,
GB&I,Ireland,Donegel,Narin & Portnoo,2020,Hanse,Renovation,Open,Wallace McNeill Connaughton,2020-05-02,54.8402416,-8.4453594,https://www.narinandportnoolinks.com/,uisZ8wylGQ8,narinportnoolinks,,New 9th Hole,,,Candidate
GB&I,Ireland,Dublin,The Island,2019,Mackenzie Ebert,Renovation,Open,F Hawtree Hackett,2020-09-23,53.4634539,-6.1360027,https://www.theislandgolfclub.ie/,kS3l6kXaRFk,theislandgolfclub,,Before,kevinmarkham/status/1292030536555298816,Images,
GB&I,Scotland,Dornoch,Royal Dornoch,2020,Mackenzie Ebert,Renovation,Open,Morris,2020-05-02,57.8789661,-4.028028,https://royaldornoch.com/,edvpZ8SeWFU,,new hole 7,Construction,,,
N America,Canada,Ontario,Hamilton,2021,Ebert,Restoration ,Construction,Colt Robinson,2020-11-06,43.2188889,-79.9791331,http://www.hgcc.ca,,hamiltongolfandcountryclub,East 9,,drewharvie/status/1324477474403594240,Hole 3,
N America,USA,California,Valley Club of Montecito ,2019, Doak ,Renovation,Open ,Mackenzie,2020-05-02,34.4330977,-119.6174428,,,valleyclubofmontecito,flood damage,,,,
N America,USA,Florida,Jupiter Hills,2020,Tom Logan Fazio,Renovation,Construction,George Fazio,2020-05-07,26.9884805,-80.0977239,https://www.jupiterhillsclub.org/,xOK-HGxFzxI,,,50th,USGA/status/996835931423469576,USGA,
N America,USA,Illinois,Beverly,2020,Prichard Rae,Renovation,Open,Ross,2020-05-14,41.7332824,-87.6870727,https://www.beverlycc.org/,,,,,the_fried_egg/status/1266551050376564736,Fried Egg,
N America,USA,Illinois,Chicago GC,2020,Doak,Maintenance,Open,Macdonald Raynor,2020-07-05,41.8494276,-88.1178809,,,,Drainage bunkers,,,,
N America,USA,Maryland,Burning Tree,2019,Hanse,Renovation,Open,,2020-07-05,38.9998977,-77.1521431,https://issuu.com/totalturfgolfservices/docs/burning_tree_club_as_built_-_11_x_17,,,,,,,
N America,USA,Maryland,Congressional Blue,2021,Green,Renovation,Construction,RTJ,2020-09-22,38.9962458,-77.1764348,https://www.ccclub.org/,2sSosWXHeoI,congressionalcountryclub,,Peter Wendt,GreenGCA/status/1307051822226509826,Greens,
N America,USA,Michigan,Bloomfield Hills ,2021,DeVries Pont ,Renovation,Construction,Colt,2020-09-23,42.5829101,-83.254828,https://www.bloomfieldhillscc.org/,,,Labar,,cdpgolf1/status/1308772967300632577,Hole 10,
N America,USA,Michigan,Oakland Hills South,2021,Hanse ,Renovation,Construction,Ross RTJ ,2020-10-02,42.5438996,-83.2798757,https://www.oaklandhillscc.com/,h_ygielCaKU,,$12M,Steve Brady,officialGAM/status/1298062581375078403,GAM,
